.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR12873199_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873200_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873200_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873201_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873201_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873202_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873202_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873203_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873203_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873204_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
